Symbol	hgnc_id
FXYD6	HGNC:4030
RAB4B	HGNC:9782
RAB24	HGNC:9765
RPL34P3	HGNC:10343
RBPMSLP	HGNC:9923
RBM11	HGNC:9897
PPP1R2P2	HGNC:9290
KRT18P2	HGNC:6435
C21orf58	HGNC:1300
SH3TC1	HGNC:26009
KCTD5	HGNC:21423
ATAD2B	HGNC:29230
ANKIB1	HGNC:22215
UGT2B28	HGNC:13479
CCDC93	HGNC:25611
ANKRD16	HGNC:23471
RNF186	HGNC:25978
SDK2	HGNC:19308
WDR5B	HGNC:17826
UGT2B29P	HGNC:12552
UGT2B27P	HGNC:12551
UGT2B26P	HGNC:12550
UGT2B25P	HGNC:12549
UGT2B24P	HGNC:12548
VSIG10	HGNC:26078
TBC1D13	HGNC:25571
FNDC8	HGNC:25286
ZNF853	HGNC:21767
KLHDC4	HGNC:25272
GRAMD1C	HGNC:25252
ZNF586	HGNC:25949
ZNF562	HGNC:25950
ZCCHC10	HGNC:25954
NUP62CL	HGNC:25960
BSPRY	HGNC:18232
BIVM	HGNC:16034
ARHGEF38	HGNC:25968
DEF8	HGNC:25969
WDR55	HGNC:25971
FAM83E	HGNC:25972
TMEM214	HGNC:25983
TMEM104	HGNC:25984
RETSAT	HGNC:25991
INO80D	HGNC:25997
MTMR10	HGNC:25999
CDKAL1	HGNC:21050
CYP2W1	HGNC:20243
RPP25	HGNC:30361
COMMD4	HGNC:26027
LINC01521	HGNC:26029
COMMD8	HGNC:26036
C1orf109	HGNC:26039
TMEM160	HGNC:26042
TIPIN	HGNC:30750
C20orf27	HGNC:15873
C2orf42	HGNC:26056
ACSM5	HGNC:26060
C1orf159	HGNC:26062
TTC22	HGNC:26067
TRMT61B	HGNC:26070
HERC6	HGNC:26072
STX17	HGNC:11432
PRPF39	HGNC:20314
C14orf119	HGNC:20270
SLC35A5	HGNC:20792
EPN3	HGNC:18235
VPS37C	HGNC:26097
GABPB1-IT1	HGNC:25469
DET1	HGNC:25477
C9orf40	HGNC:23433
ARGLU1	HGNC:25482
KIF26B	HGNC:25484
WDR70	HGNC:25495
BSDC1	HGNC:25501
TMEM39B	HGNC:25510
SRBD1	HGNC:25521
FIGN	HGNC:13285
FAM90A1	HGNC:25526
C19orf73	HGNC:25534
SDAD1	HGNC:25537
TBCCD1	HGNC:25546
KLHL11	HGNC:19008
SEC61A2	HGNC:17702
RIF1	HGNC:23207
DNAJC17	HGNC:25556
ZNF532	HGNC:30940
KLHDC8A	HGNC:25573
LRRC20	HGNC:23421
RAVER2	HGNC:25577
USP40	HGNC:20069
CCDC87	HGNC:25579
CCDC25	HGNC:25591
TMEM143	HGNC:25603
TMEM19	HGNC:25605
ECHDC2	HGNC:23408
TMEM100	HGNC:25607
FGGY	HGNC:25610
ZNF654	HGNC:25612
TMEM140	HGNC:21870
RBM41	HGNC:25617
C4orf19	HGNC:25618
TMEM40	HGNC:25620
ACOXL	HGNC:25621
KLHL26	HGNC:25623
