Gene	log10_ci_low	log10_ci_high	log10_map	group	group2
FARSA	-1.89011448	-0.99371563	-1.41381329	Autosome	Autosome
FARSB	-5.59923725	-1.32431561	-2.02440775	Autosome	Autosome
FAS	-2.32164364	-0.21924339	-1.17720219	Autosome	Autosome
FASLG	-1.58548651	-0.08721729	-0.74010891	Autosome	Autosome
FASN	-1.1304568	-0.40212427	-0.77774795	Autosome	Autosome
FASTK	-1.83629277	-0.88911051	-1.36742467	Autosome	Autosome
FASTKD1	-6.13086948	-2.64959764	-3.93491467	Autosome	Autosome
FASTKD2	-5.59191516	-1.34776598	-2.05554101	Autosome	Autosome
FASTKD3	-6.10110129	-2.12900451	-3.34944821	Autosome	Autosome
FASTKD5	-6.03151131	-1.90451616	-2.5365683	Autosome	Autosome
FAT1	-1.71394979	-1.33761293	-1.5152778	Autosome	Autosome
FAT2	-2.27044826	-1.60224355	-1.8546448	Autosome	Autosome
FAT3	-1.35428972	-0.8520035	-1.12561683	Autosome	Autosome
FAT4	-1.20878011	-0.61944023	-0.92050707	Autosome	Autosome
FAU	-5.15624842	-0.01038137	-0.90841817	Autosome	Autosome
FAXC	-1.40113584	-0.09412705	-0.68652723	Autosome	Autosome
FAXDC2	-6.22074917	-2.38116622	-3.61675777	Autosome	Autosome
FBF1	-5.99111244	-2.04440031	-3.35898778	Autosome	Autosome
FBL	-1.17755678	-0.08556268	-0.53927057	Autosome	Autosome
FBLIM1	-6.09197963	-1.68021957	-2.51045908	Autosome	Autosome
FBLL1	-5.68495018	-0.0586891	-1.01760207	Autosome	Autosome
FBLN1	-1.23052908	-0.24432893	-0.76072624	Autosome	Autosome
FBLN2	-1.74910685	-1.04191491	-1.39484309	Autosome	Autosome
FBLN5	-1.11609273	-0.07844732	-0.54496199	Autosome	Autosome
FBLN7	-6.14609658	-2.11036146	-3.23774039	Autosome	Autosome
FBN1	-0.67011112	-0.10880933	-0.33002627	Autosome	Autosome
FBN2	-1.32764092	-0.82987785	-1.08693619	Autosome	Autosome
FBN3	-4.36705784	-1.71527746	-2.5464765	Autosome	Autosome
FBP1	-5.46286537	-0.61185591	-1.488867	Autosome	Autosome
FBP2	-6.01063307	-1.54168722	-2.0945329	Autosome	Autosome
FBRS	-1.15820063	-0.08213914	-0.48881017	Autosome	Autosome
FBXL12	-5.57973369	-0.8974142	-1.63805274	Autosome	Autosome
FBXL13	-6.09021513	-2.1290236	-3.34952652	Autosome	Autosome
FBXL14	-1.91864179	-0.02375288	-0.77706009	Autosome	Autosome
FBXL15	-6.10388088	-1.46030153	-2.10674255	Autosome	Autosome
FBXL16	-1.46029719	-0.09551611	-0.7506964	Autosome	Autosome
FBXL17	-1.31781584	-0.09524682	-0.6310526	Autosome	Autosome
FBXL18	-6.17445371	-2.10518561	-3.25307307	Autosome	Autosome
FBXL19	-1.06962202	-0.07161363	-0.44339374	Autosome	Autosome
FBXL2	-1.70974647	-0.91726723	-1.32563126	Autosome	Autosome
FBXL20	-1.48717953	-0.479574	-1.03494713	Autosome	Autosome
FBXL22	-6.18524729	-1.41048331	-2.32610922	Autosome	Autosome
FBXL3	-1.64645058	-0.33878312	-1.05215841	Autosome	Autosome
FBXL4	-6.09432436	-2.02027146	-3.17208881	Autosome	Autosome
FBXL5	-1.90588898	-0.91011365	-1.39484956	Autosome	Autosome
FBXL6	-6.22977406	-2.38382826	-3.71887436	Autosome	Autosome
FBXL7	-1.31993809	-0.09779831	-0.70488079	Autosome	Autosome
FBXL8	-6.15061772	-2.1289005	-5.00577519	Autosome	Autosome
FBXO10	-2.76478717	-1.33414459	-1.77275458	Autosome	Autosome
FBXO11	-0.94583194	-0.05992047	-0.40171817	Autosome	Autosome
FBXO15	-2.29125665	-0.75228484	-1.42195536	Autosome	Autosome
