gene	GO_BP_count	GO_BP_count_400_auc	GO_BP_count_400_auc_decile
HGNC:11321	38	0	1
HGNC:11322	7	2	7
HGNC:11323	30	0	1
HGNC:11324	22	0	1
HGNC:11325	24	1	4
HGNC:11327	36	1	4
HGNC:11328	5	1	4
HGNC:11329	56	1	4
HGNC:11330	58	2	7
HGNC:11331	59	3	9
HGNC:11332	60	2	7
HGNC:11333	81	2	7
HGNC:11334	69	2	7
HGNC:11340	86	1	4
HGNC:11343	15	0	1
HGNC:11344	41	2	7
HGNC:11345	102	2	7
HGNC:11346	97	2	7
HGNC:1135	31	0	1
HGNC:11350	28	0	1
HGNC:11351	12	0	1
HGNC:11353	49	1	4
HGNC:11354	19	1	4
HGNC:11356	21	1	4
HGNC:11357	79	3	9
HGNC:11358	36	2	7
HGNC:11359	50	2	7
HGNC:1136	33	0	1
HGNC:11362	198	6	10
HGNC:11363	128	2	7
HGNC:11364	286	15	10
HGNC:11365	88	3	9
HGNC:11366	118	4	10
HGNC:11367	209	11	10
HGNC:11368	160	7	10
HGNC:11369	32	0	1
HGNC:1137	97	2	7
HGNC:11370	36	1	4
HGNC:11371	116	2	7
HGNC:11373	119	4	10
HGNC:11374	96	4	10
HGNC:11375	10	0	1
HGNC:11377	42	1	4
HGNC:11378	15	1	4
HGNC:1138	42	2	7
HGNC:11386	74	1	4
HGNC:11387	10	0	1
HGNC:11388	39	1	4
HGNC:11389	242	11	10
HGNC:1139	38	2	7
HGNC:11390	168	5	10
HGNC:11391	64	3	9
HGNC:11393	171	8	10
HGNC:11394	86	3	9
HGNC:11395	41	0	1
HGNC:11396	39	0	1
HGNC:11397	70	4	10
HGNC:11398	41	1	4
HGNC:11399	86	1	4
HGNC:1140	33	1	4
HGNC:11401	46	2	7
HGNC:11403	90	1	4
HGNC:11404	110	3	9
HGNC:11405	158	4	10
HGNC:11406	207	4	10
HGNC:11407	19	0	1
HGNC:11408	194	6	10
HGNC:1142	63	2	7
HGNC:11422	73	3	9
HGNC:11424	42	1	4
HGNC:11427	122	6	10
HGNC:11428	31	1	4
HGNC:11429	40	1	4
HGNC:1143	31	0	1
HGNC:11430	40	3	9
HGNC:11431	28	2	7
HGNC:11432	42	3	9
HGNC:11433	107	3	9
HGNC:11438	90	3	9
HGNC:11439	160	3	9
HGNC:1144	166	5	10
HGNC:11440	58	2	7
HGNC:11441	35	2	7
HGNC:11442	51	2	7
HGNC:11443	54	1	4
HGNC:11444	158	7	10
HGNC:11445	57	1	4
HGNC:11446	101	5	10
HGNC:11447	89	3	9
HGNC:11448	35	1	4
HGNC:11449	6	1	4
HGNC:11450	23	1	4
HGNC:11451	104	3	9
HGNC:11453	34	1	4
HGNC:11454	36	1	4
HGNC:11455	61	1	4
HGNC:11456	8	0	1
HGNC:11457	30	1	4
HGNC:11458	37	1	4
HGNC:11459	50	1	4
